,Unnamed: 0,accuracy_test,accuracy_train,log_loss_test,log_loss_train,run_id,shuffled,truncated,pair
0,0,1.0,0.9285714285714286,0.2493743820675805,0.2034456115849821,1,False,50,BC vs BTC
1,1,1.0,0.8928571428571429,0.3866863089549887,0.4518112823974999,2,False,50,BC vs BTC
2,2,1.0,1.0,0.01512106550824111,0.08677602957445721,3,False,50,BC vs BTC
3,3,0.7142857142857143,1.0,0.7601173300552054,0.00997428634787224,4,False,50,BC vs BTC
4,4,0.8571428571428571,0.8928571428571429,0.3044489401309802,0.35220918262325124,5,False,50,BC vs BTC
5,5,0.8571428571428571,0.9642857142857144,0.22632184099202704,0.12949029862871173,6,False,50,BC vs BTC
6,6,1.0,1.0,0.12240461580159685,0.04744984042928512,7,False,50,BC vs BTC
7,7,1.0,1.0,0.039794999982410234,0.04130126991608603,8,False,50,BC vs BTC
8,8,1.0,1.0,0.15637466867306365,0.11023084026044552,9,False,50,BC vs BTC
9,9,0.8571428571428571,0.9642857142857144,0.3745451969522673,0.28045447985808986,10,False,50,BC vs BTC
10,10,1.0,1.0,0.05743381237884319,0.0197669312170391,11,False,50,BC vs BTC
11,11,0.8571428571428571,0.9642857142857144,0.3943406043201935,0.2524533149695637,12,False,50,BC vs BTC
12,12,1.0,0.9285714285714286,0.17060610046147168,0.15304546049176745,13,False,50,BC vs BTC
13,13,0.8571428571428571,0.9642857142857144,0.2793105948028932,0.17585240105301114,14,False,50,BC vs BTC
14,14,1.0,1.0,0.020938014217094538,0.04243434046209942,15,False,50,BC vs BTC
15,15,1.0,1.0,0.08432881847214406,0.011185151680810768,16,False,50,BC vs BTC
16,16,0.8571428571428571,0.9642857142857144,0.3367244662049064,0.3156917788910025,17,False,50,BC vs BTC
17,17,0.7142857142857143,0.9285714285714286,0.4364840732926658,0.34539211719390744,18,False,50,BC vs BTC
18,18,1.0,0.9285714285714286,0.2821158785927876,0.2849678689742919,19,False,50,BC vs BTC
19,19,1.0,0.8571428571428571,0.3611221212441145,0.4333784647516064,20,False,50,BC vs BTC
20,20,0.7142857142857143,0.9285714285714286,0.4428826565375017,0.3447725638169474,21,False,50,BC vs BTC
21,21,1.0,1.0,0.06345294967458379,0.05478866589516993,22,False,50,BC vs BTC
22,22,0.8571428571428571,0.9642857142857144,0.3297352759762852,0.2451092096798821,23,False,50,BC vs BTC
23,23,1.0,1.0,0.07795007013392584,0.0028885942841186045,24,False,50,BC vs BTC
24,24,1.0,0.9285714285714286,0.4148671589244333,0.4300559123785706,25,False,50,BC vs BTC
25,25,1.0,1.0,0.0330988013248764,0.04200267347019646,26,False,50,BC vs BTC
26,26,0.8571428571428571,0.9642857142857144,0.3579518494339075,0.2515718263506938,27,False,50,BC vs BTC
27,27,1.0,0.8571428571428571,0.4075560093440918,0.43117497953404543,28,False,50,BC vs BTC
28,28,0.8571428571428571,0.9642857142857144,0.2869896502698235,0.10999137589880714,29,False,50,BC vs BTC
29,29,1.0,0.8928571428571429,0.3580230912698658,0.3059275838313869,30,False,50,BC vs BTC
30,30,0.8571428571428571,0.9642857142857144,0.31150179928439664,0.1173334207240604,31,False,50,BC vs BTC
31,31,0.8571428571428571,0.9642857142857144,0.2923933151792893,0.274518339764201,32,False,50,BC vs BTC
32,32,0.8571428571428571,0.8928571428571429,0.3542539788459035,0.3756967095372475,33,False,50,BC vs BTC
33,33,1.0,0.8571428571428571,0.4170193958205788,0.4712345419941131,34,False,50,BC vs BTC
34,34,1.0,0.9285714285714286,0.2203154101549234,0.2020792387371634,35,False,50,BC vs BTC
35,35,0.8571428571428571,0.8928571428571429,0.368400088388356,0.4008180291797559,36,False,50,BC vs BTC
36,36,0.7142857142857143,1.0,0.7451575034154424,0.018001624211741157,37,False,50,BC vs BTC
37,37,0.8571428571428571,0.9642857142857144,0.34203608407111913,0.141055819925019,38,False,50,BC vs BTC
38,38,1.0,1.0,0.0249746065849918,0.014914479782806368,39,False,50,BC vs BTC
39,39,1.0,0.9285714285714286,0.34686611336089035,0.4398101920241052,40,False,50,BC vs BTC
40,40,0.8571428571428571,0.9642857142857144,0.4298093931143704,0.14706140904351162,41,False,50,BC vs BTC
41,41,1.0,1.0,0.035761921710761986,0.053041974037714136,42,False,50,BC vs BTC
42,42,0.8571428571428571,0.9285714285714286,0.4187211832663159,0.2654922505572209,43,False,50,BC vs BTC
43,43,1.0,0.9642857142857144,0.15631021208664936,0.1404701625937362,44,False,50,BC vs BTC
44,44,1.0,1.0,0.02944271152848588,0.04184815617000553,45,False,50,BC vs BTC
45,45,0.7142857142857143,0.9285714285714286,0.4430346699803846,0.31780136828101224,46,False,50,BC vs BTC
46,46,0.8571428571428571,0.9642857142857144,0.32079254343535346,0.2246371405752619,47,False,50,BC vs BTC
47,47,1.0,1.0,0.03702162949153516,0.008976859767963169,48,False,50,BC vs BTC
48,48,1.0,0.9285714285714286,0.3703762311504111,0.3811682843825385,49,False,50,BC vs BTC
49,49,1.0,1.0,0.0266367679372234,0.02451176243577078,50,False,50,BC vs BTC
50,50,0.5714285714285714,0.5714285714285714,0.6829081047004717,0.6829081047004719,1,True,50,BC vs BTC
51,51,0.5714285714285714,0.5714285714285714,0.6829081047004717,0.6829081047004719,2,True,50,BC vs BTC
52,52,0.5714285714285714,0.5714285714285714,0.6829081047004717,0.6829081047004719,3,True,50,BC vs BTC
53,53,0.5714285714285714,0.5714285714285714,0.6829081047004717,0.6829081047004719,4,True,50,BC vs BTC
54,54,0.5714285714285714,0.5714285714285714,0.6829081047004717,0.6829081047004719,5,True,50,BC vs BTC
