,Unnamed: 0,accuracy_test,accuracy_train,log_loss_test,log_loss_train,run_id,shuffled,truncated,pair
0,0,1.0,1.0,0.21410495692295434,0.2032737619488761,1,False,10,BC vs BTC
1,1,0.8571428571428571,0.9642857142857144,0.4084953969906274,0.21976742575691446,2,False,10,BC vs BTC
2,2,0.7142857142857143,0.9285714285714286,0.34685784630732297,0.3347663896593525,3,False,10,BC vs BTC
3,3,1.0,1.0,0.12810698463709908,0.15169364156267484,4,False,10,BC vs BTC
4,4,0.8571428571428571,0.9642857142857144,0.4670338091885021,0.2722868256070641,5,False,10,BC vs BTC
5,5,1.0,1.0,0.15458932989880886,0.09555623064998377,6,False,10,BC vs BTC
6,6,1.0,1.0,0.20916024989398144,0.20964335434982045,7,False,10,BC vs BTC
7,7,0.8571428571428571,0.8928571428571429,0.4631679020054369,0.4915228631520616,8,False,10,BC vs BTC
8,8,1.0,1.0,0.1686596971577273,0.15876610794596802,9,False,10,BC vs BTC
9,9,0.7142857142857143,1.0,0.9932128001439048,0.013723436761539018,10,False,10,BC vs BTC
10,10,0.7142857142857143,1.0,1.2392005855989985,0.01404759941531204,11,False,10,BC vs BTC
11,11,1.0,1.0,0.1485145165852467,0.2012820914662473,12,False,10,BC vs BTC
12,12,1.0,0.9285714285714286,0.28364060233855715,0.2842074249963839,13,False,10,BC vs BTC
13,13,1.0,1.0,0.2571076243217601,0.1671053789288406,14,False,10,BC vs BTC
14,14,1.0,1.0,0.09179975571384877,0.18615988996338206,15,False,10,BC vs BTC
15,15,1.0,1.0,0.24895339214802745,0.22483049984582906,16,False,10,BC vs BTC
16,16,0.8571428571428571,1.0,0.4095363434346236,0.13429524691514802,17,False,10,BC vs BTC
17,17,1.0,1.0,0.10038632274636083,0.06470685153455484,18,False,10,BC vs BTC
18,18,1.0,0.9642857142857144,0.2782578031659274,0.27552544879859403,19,False,10,BC vs BTC
19,19,0.8571428571428571,0.9642857142857144,0.4569140701590985,0.300564975149948,20,False,10,BC vs BTC
20,20,0.8571428571428571,0.9285714285714286,0.3049117785018581,0.33311141362709695,21,False,10,BC vs BTC
21,21,1.0,1.0,0.2371595812194213,0.25573795776648345,22,False,10,BC vs BTC
22,22,1.0,0.9285714285714286,0.31265727366387164,0.3031142765482233,23,False,10,BC vs BTC
23,23,0.8571428571428571,0.9642857142857144,0.3956437529179955,0.2332637155442412,24,False,10,BC vs BTC
24,24,0.8571428571428571,0.9642857142857144,0.3513072337707719,0.3202453331538146,25,False,10,BC vs BTC
25,25,0.8571428571428571,0.9642857142857144,0.469217197509075,0.2815893068545261,26,False,10,BC vs BTC
26,26,1.0,0.9285714285714286,0.29628800319702675,0.3482663422822997,27,False,10,BC vs BTC
27,27,0.8571428571428571,1.0,0.4012194152663366,0.20053979266373986,28,False,10,BC vs BTC
28,28,1.0,1.0,0.21492885237993026,0.21782576010127455,29,False,10,BC vs BTC
29,29,1.0,1.0,0.1769343828135765,0.1807430125914518,30,False,10,BC vs BTC
30,30,1.0,1.0,0.07254622885362284,0.11969855565021002,31,False,10,BC vs BTC
31,31,0.7142857142857143,0.9285714285714286,0.4020506493005281,0.30665518034796435,32,False,10,BC vs BTC
32,32,0.8571428571428571,0.9642857142857144,0.4218164520170712,0.3264206319061261,33,False,10,BC vs BTC
33,33,0.8571428571428571,0.9642857142857144,0.3891158661236576,0.2542581509022111,34,False,10,BC vs BTC
34,34,1.0,1.0,0.08443552971898245,0.11539666589871303,35,False,10,BC vs BTC
35,35,1.0,0.9285714285714286,0.3736638235901026,0.3191284979892912,36,False,10,BC vs BTC
36,36,1.0,1.0,0.05783143331510894,0.06889335076467508,37,False,10,BC vs BTC
37,37,0.8571428571428571,0.9642857142857144,0.3245696678669345,0.2632573605049889,38,False,10,BC vs BTC
38,38,1.0,0.9642857142857144,0.34615074805541235,0.2422678754011547,39,False,10,BC vs BTC
39,39,0.8571428571428571,1.0,0.5565218397056719,0.03529799770600935,40,False,10,BC vs BTC
40,40,0.8571428571428571,0.9642857142857144,0.4016433634480959,0.2917500681035353,41,False,10,BC vs BTC
41,41,1.0,0.9285714285714286,0.32427733485414745,0.3361294434014652,42,False,10,BC vs BTC
42,42,1.0,1.0,0.08120177139557049,0.10116346855452557,43,False,10,BC vs BTC
43,43,1.0,0.9285714285714286,0.3154956814588032,0.3216668012714952,44,False,10,BC vs BTC
44,44,0.8571428571428571,1.0,0.4393627894756077,0.06946252413418402,45,False,10,BC vs BTC
45,45,1.0,1.0,0.09192974831305607,0.13087759462523815,46,False,10,BC vs BTC
46,46,0.8571428571428571,1.0,0.38937533456512696,0.17744836569837616,47,False,10,BC vs BTC
47,47,0.8571428571428571,0.9642857142857144,0.4095151094489175,0.2796117792274769,48,False,10,BC vs BTC
48,48,1.0,1.0,0.1333280532579579,0.14137494588799188,49,False,10,BC vs BTC
49,49,1.0,1.0,0.3387634773937557,0.18035924866425915,50,False,10,BC vs BTC
50,50,0.5714285714285714,0.5714285714285714,0.6829081047004717,0.6829081047004718,1,True,10,BC vs BTC
51,51,0.5714285714285714,0.5714285714285714,0.6829081047004717,0.6829081047004719,2,True,10,BC vs BTC
52,52,0.5714285714285714,0.5714285714285714,0.6829081047004717,0.6829081047004718,3,True,10,BC vs BTC
53,53,0.5714285714285714,0.5714285714285714,0.6829081047004717,0.6829081047004719,4,True,10,BC vs BTC
54,54,0.5714285714285714,0.5714285714285714,0.6829081047004717,0.6829081047004719,5,True,10,BC vs BTC
